iter	Passed	Remaining
1391	7279	18868
1392	7284	18862
1393	7289	18857
1394	7294	18851
1395	7300	18846
1396	7305	18840
1397	7310	18834
1398	7315	18830
1399	7320	18825
1400	7326	18820
1401	7331	18816
1402	7337	18810
1403	7342	18806
1404	7347	18801
1405	7353	18796
1406	7359	18792
1407	7364	18786
1408	7369	18781
1409	7374	18777
1410	7380	18772
1411	7385	18766
1412	7391	18763
1413	7396	18757
1414	7401	18752
1415	7407	18749
1416	7413	18744
1417	7418	18739
1418	7424	18736
1419	7429	18730
1420	7434	18724
1421	7440	18720
1422	7445	18715
1423	7450	18709
1424	7456	18705
1425	7461	18700
1426	7466	18695
1427	7472	18690
1428	7477	18686
1429	7482	18680
1430	7488	18677
1431	7494	18672
1432	7499	18666
1433	7504	18661
1434	7509	18656
1435	7514	18650
1436	7520	18646
1437	7525	18641
1438	7530	18635
1439	7536	18631
1440	7541	18626
1441	7546	18621
1442	7552	18616
1443	7557	18610
1444	7562	18605
1445	7567	18600
1446	7572	18594
1447	7577	18588
1448	7583	18583
1449	7588	18578
1450	7593	18572
1451	7598	18567
1452	7603	18562
1453	7608	18556
1454	7614	18550
1455	7619	18545
1456	7624	18539
1457	7629	18533
1458	7634	18527
1459	7638	18521
1460	7644	18516
1461	7649	18511
1462	7654	18505
1463	7659	18500
1464	7665	18496
1465	7670	18491
1466	7676	18486
1467	7681	18482
1468	7687	18477
1469	7692	18472
1470	7697	18467
1471	7702	18461
1472	7707	18455
1473	7712	18449
1474	7717	18444
1475	7723	18439
1476	7729	18435
1477	7734	18431
1478	7740	18426
1479	7745	18422
1480	7750	18417
1481	7756	18411
1482	7761	18406
1483	7766	18400
1484	7771	18394
1485	7776	18388
1486	7781	18383
1487	7786	18377
1488	7791	18371
1489	7796	18366
1490	7801	18360
1491	7806	18354
1492	7811	18349
1493	7816	18343
1494	7821	18338
1495	7827	18333
1496	7832	18327
1497	7837	18322
1498	7843	18318
1499	7848	18312
1500	7853	18306
1501	7858	18301
1502	7864	18297
1503	7869	18292
1504	7875	18288
1505	7880	18283
1506	7885	18277
1507	7891	18274
1508	7896	18268
1509	7901	18262
1510	7907	18258
1511	7912	18254
1512	7917	18248
1513	7923	18243
1514	7928	18238
1515	7933	18233
1516	7939	18229
1517	7945	18224
1518	7949	18218
1519	7955	18212
1520	7960	18207
1521	7964	18200
1522	7970	18195
1523	7975	18190
1524	7980	18185
1525	7986	18180
1526	7991	18175
1527	7996	18169
1528	8001	18163
1529	8006	18159
1530	8012	18153
1531	8017	18149
1532	8022	18144
1533	8027	18138
1534	8033	18133
1535	8038	18127
1536	8043	18122
1537	8048	18116
1538	8053	18111
1539	8058	18104
1540	8063	18099
1541	8069	18095
1542	8074	18090
1543	8079	18085
1544	8085	18080
1545	8090	18074
1546	8095	18068
1547	8100	18063
1548	8105	18057
1549	8110	18053
1550	8116	18047
1551	8121	18042
1552	8126	18036
1553	8131	18031
1554	8136	18025
1555	8141	18019
1556	8146	18013
1557	8150	18007
1558	8156	18002
1559	8161	17997
1560	8166	17991
1561	8171	17986
1562	8176	17980
1563	8181	17975
1564	8186	17969
1565	8192	17963
1566	8197	17958
1567	8202	17953
1568	8207	17947
1569	8212	17941
1570	8217	17936
1571	8222	17930
1572	8227	17925
1573	8232	17919
1574	8237	17913
1575	8242	17907
1576	8247	17902
1577	8252	17896
1578	8257	17890
1579	8263	17885
1580	8268	17881
1581	8274	17876
1582	8279	17871
1583	8284	17865
1584	8289	17860
1585	8294	17855
1586	8299	17849
1587	8304	17843
1588	8309	17838
1589	8314	17832
1590	8319	17826
1591	8324	17820
1592	8329	17815
1593	8334	17809
1594	8340	17804
1595	8344	17798
1596	8349	17792
1597	8355	17787
1598	8360	17781
1599	8365	17775
1600	8370	17770
1601	8375	17764
1602	8380	17759
1603	8385	17753
1604	8390	17748
1605	8395	17742
1606	8400	17736
1607	8405	17730
1608	8410	17725
1609	8415	17720
1610	8420	17714
1611	8425	17708
1612	8430	17702
1613	8435	17696
1614	8440	17691
1615	8445	17685
1616	8450	17680
1617	8455	17674
1618	8461	17670
1619	8467	17666
1620	8473	17662
1621	8478	17657
1622	8483	17651
1623	8488	17646
1624	8493	17641
1625	8498	17635
1626	8504	17630
1627	8509	17624
1628	8514	17618
1629	8519	17613
1630	8524	17608
1631	8529	17602
1632	8534	17596
1633	8539	17591
1634	8544	17585
1635	8549	17580
1636	8554	17574
1637	8559	17569
1638	8565	17563
1639	8569	17558
1640	8574	17552
1641	8579	17546
1642	8585	17541
1643	8590	17536
1644	8595	17530
1645	8600	17524
1646	8605	17519
1647	8610	17513
1648	8615	17508
1649	8620	17503
1650	8625	17497
1651	8630	17491
1652	8635	17485
1653	8641	17480
1654	8646	17475
1655	8651	17469
1656	8656	17463
1657	8661	17458
1658	8666	17453
1659	8672	17449
1660	8677	17443
1661	8682	17438
1662	8687	17433
1663	8693	17428
1664	8698	17423
1665	8704	17418
1666	8709	17413
1667	8714	17408
1668	8720	17403
1669	8725	17398
1670	8730	17393
1671	8735	17388
1672	8741	17382
1673	8746	17377
1674	8751	17371
1675	8756	17366
1676	8761	17360
1677	8766	17354
1678	8771	17349
1679	8776	17343
1680	8781	17337
1681	8786	17332
